0.10	0.50	2.10	19.00	5.00	379.00	3.54	15.10
1.00	4.00	1.10	16.00	13.00	269.00	5.79	21.30
1.90	19.00	1.00	14.00	12.00	245.00	8.51	22.75
3.10	21.70	2.10	17.00	6.00	273.00	11.52	15.72
4.10	24.60	2.90	11.00	10.00	237.00	10.16	7.71
4.90	39.20	1.10	12.00	7.00	278.00	11.14	22.67
5.90	23.60	2.10	13.00	13.00	241.00	15.04	18.11
7.00	63.00	2.00	13.00	20.00	269.00	15.10	24.30
8.10	72.90	2.90	14.00	1.00	248.00	14.49	24.04
8.90	35.60	2.80	16.00	1.00	210.00	16.90	25.11
10.00	100.00	2.20	16.00	21.00	334.00	16.61	36.80
11.10	77.70	2.00	14.00	1.00	340.00	17.81	36.42
11.90	71.40	2.90	20.00	11.00	224.00	19.74	39.59
13.00	117.00	1.10	16.00	9.00	338.00	17.70	51.60
14.10	141.00	1.20	14.00	10.00	367.00	19.16	48.05
15.10	105.70	1.00	17.00	3.00	363.00	21.97	51.72
15.90	79.50	1.10	20.00	10.00	395.00	22.15	59.20
16.00	160.00	1.20	17.00	15.00	295.00	24.24	58.30
17.10	85.50	1.90	14.00	6.00	266.00	23.58	41.80
18.00	90.00	2.80	18.00	19.00	210.00	23.77	44.20
19.10	114.60	2.10	10.00	21.00	366.00	29.25	37.51
